Survey Date,trigger_transaction_description,payment_type,trigger_system_name,client_region,price_plan_name,tnps_generic_verbatim_answer,F_NPS_Score,F_EFF_Score,F_FTF_Question,Voice / EServices,Call Type,Cust Age Bucket,sentiment
2023-03-01 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Eastern,RED 1GB 100min TopUp,Ok,10,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,44 - 54,0.5
2023-06-30 00:00:00,Post2Hybrid,Postpaid,Siebel_01,Eastern,RED 6GB 200min,Good service agent,8,9,"Yes, straight away",Voice,Post2Hybrid / Orders,55 - 64,0.7
2023-06-28 00:00:00,Bank Details: Updated,TopUp,Siebel_01,Mpumalanga,"RED 2,4GB 400min TopUp",Its easy and helpfull,10,10,"Yes, straight away",Voice,Bank Details: Updated / Account,35 - 44,0.433333333
2023-06-29 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Northern Gauteng,RED 600MB 50min - TopUp,,9,,Too early to tell,Voice,Promise to Pay / Billing Enquiry,25 - 34,NaN
2023-06-29 00:00:00,Migration,TopUp,Siebel_01,Mpumalanga,RED Flexi 200,They did alter my account without letting me know. I had to resolve the problem. I hope the right amount will be deduct next month.,9,8,"Yes, but I had to contact Vodacom more than once",Voice,Migration / Orders,55 - 64,0.142857143
2023-06-26 00:00:00,Charges: Enquiry,TopUp,Siebel_01,Mpumalanga,RED 600MB 50min - TopUp,I got help faster than expected,10,10,"Yes, straight away",Voice,Charges: Enquiry / Account,35 - 44,-0.1
2023-06-29 00:00:00,Migration Order: Processed,TopUp,Siebel_01,Eastern,"RED 1,2GB 100min TopUp",The support person was awesome... very friendly,9,10,"Yes, straight away",Voice,Migration Order: Processed / Account,55 - 64,0.74375
2023-06-29 00:00:00,Balance: Enquiry,TopUp,Siebel_01,Western,SMART TOP UP XS+,The agent was very knowledgeable and knew what customer care means,10,10,"Yes, straight away",Voice,Balance: Enquiry / Account,44 - 54,0.2
2023-06-29 00:00:00,Promise to Pay,Postpaid,TobiAssist_CC_C3D,Southern Gauteng,RED 6GB 800min,I was assisted with payment arrangements,10,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,44 - 54,0
2023-06-30 00:00:00,Modify,Postpaid,Siebel_01,Kwazulu Natal,"RED 2,4GB 200min",,10,10,"Yes, straight away",Voice,Modify / Orders,35 - 44,NaN
2023-03-31 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Limpopo,uChoose Flexi 65,No,1,2,Too early to tell,Voice,Bonus Bundle / Product,25 - 34,0
2023-03-27 00:00:00,Modify,TopUp,Siebel_01,Northern Gauteng,RED 500MB 50min TopUp,Poor onternet connection. No solution,0,2,No,Voice,Modify / Orders,65+,-0.4
