Survey Date,trigger_transaction_description,payment_type,trigger_system_name,client_region,price_plan_name,Customer Verbatiam,F_NPS_Score,TNPS,F_EFF_Score,F_FTF_Question,Voice / EServices,Call Type,Cust Age Bucket
01-08-2023 00:00,Modify,TopUp,Siebel_01,Western,RED Flexi 140,"The Vodacom assistant was helpful, explained the matter well and solved it straight away.",9,Promoter,10,"Yes, straight away",Voice,Modify / Orders,44 - 54
01-08-2023 00:00,Migration,TopUp,Siebel_01,Mpumalanga,"RED 1,2GB 100min TopUp",10/10,10,Promoter,10,"Yes, straight away",Voice,Migration / Orders,25 - 34
17-08-2023 00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Central,Data - Top Up,Great assistance,10,Promoter,10,"Yes, straight away",Voice,Modify VAS / Billing Enquiry,18 - 24
02-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED Flexi 260,You guys are genius,10,Promoter,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,25 - 34
01-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Limpopo,RED 600MB 50min - TopUp,Am satisfied with your services,10,Promoter,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,25 - 34
15-08-2023 00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED Flexi 260,All right ,10,Promoter,10,"Yes, straight away",Voice,Airtime Advance / Product,25 - 34
18-08-2023 00:00,Modify,TopUp,Siebel_01,Mpumalanga,RED Flexi 75,Satisfaction,9,Promoter,8,"Yes, straight away",Voice,Modify / Orders,35 - 44
15-08-2023 00:00,Modify,TopUp,Siebel_01,Northern Gauteng,RED 600MB 50min - TopUp,All right,5,Detractors,10,"Yes, straight away",Voice,Modify / Orders,55 - 64
08-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Southern Gauteng,"RED 1,2GB 100min TopUp",Got very good customers service,10,Promoter,10,Too early to tell,Voice,Credit Note / Billing Enquiry,25 - 34
10-08-2023 00:00,Modify,TopUp,Siebel_01,Southern Gauteng,"RED 1,2GB 100min TopUp",For a change the person helping me was very clear and spoke so that I could understand her perfectly Not often the case with Vodacom,10,Promoter,10,"Yes, straight away",Voice,Modify / Orders,65+
10-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED Flexi 200,Yes,10,Promoter,6,"Yes, straight away",Voice,Credit Note / Billing Enquiry,35 - 44
11-08-2023 00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Southern Gauteng,RED Flexi 200,The lady was so humble and understanding she was even willing to go extra mile to assist me,10,Promoter,10,"Yes, straight away",Voice,Bonus Bundle / Product,44 - 54
01-08-2023 00:00,Promise to Pay,Postpaid,TobiAssist_CC_C3D,Northern Gauteng,RED VIP 12GB Unlimited,I'm well thank you,10,Promoter,9,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,35 - 44
03-08-2023 00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED Flexi 260,10,9,Promoter,1,"Yes, straight away",Voice,Bonus Bundle / Product,35 - 44
17-08-2023 00:00,Invoice and Statement,TopUp,TobiAssist_CC_C3D,Southern Gauteng,RED Flexi 140,Competent.,9,Promoter,9,"Yes, straight away",Voice,Invoice and Statement / Billing Enquiry,44 - 54
07-08-2023 00:00,Modify,TopUp,Siebel_01,Mpumalanga,RED 600MB 50min - TopUp,"I have been a customer since cellphones were made.,I like how you co operate with me even though sometimes I have network issues but you have been better",9,Promoter,10,"Yes, but I had to contact Vodacom more than once",Voice,Modify / Orders,35 - 44
